Date,County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
2024,02020,"Anchorage Borough, AK",3.4,2.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,02090,"Fairbanks North Star Borough, AK",5.8,1.9,.,.,.,.,.,.,.,.,.,.,.,.
2024,04013,"Maricopa County, AZ",2.9,1.9,.,.,.,.,.,.,.,.,.,.,.,.
2024,04019,"Pima County, AZ",1.2,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,04025,"Yavapai County, AZ",.,.,.,.,0.08,.,.,.,.,.,.,.,.,.
2024,05035,"Crittenden County, AR",.,.,.,.,0.09,0.072,.,.,.,.,.,.,.,.
2024,05101,"Newton County, AR",.,.,.,.,0.07,0.058,.,.,.,.,.,.,.,.
2024,05113,"Polk County, AR",.,.,.,.,0.07,0.058,.,.,.,.,.,.,.,.
2024,05119,"Pulaski County, AR",0.7,0.6,.,.,0.08,0.062,.,.,.,.,.,.,.,.
2024,05143,"Washington County, AR",.,.,.,.,0.09,0.061,.,.,.,.,.,.,.,.
2024,06001,"Alameda County, CA",1.9,1.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,06007,"Butte County, CA",1.1,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,06013,"Contra Costa County, CA",1.2,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,06019,"Fresno County, CA",1.7,1.5,.,.,.,.,.,.,.,.,.,.,.,.
2024,06027,"Inyo County, CA",0.2,0.2,.,.,.,.,.,.,.,.,.,.,.,.
2024,06029,"Kern County, CA",1.2,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,06037,"Los Angeles County, CA",2.9,1.9,.,.,.,.,.,.,.,.,.,.,.,.
2024,06041,"Marin County, CA",0.9,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,06053,"Monterey County, CA",0.9,0.6,.,.,.,.,.,.,.,.,.,.,.,.
2024,06059,"Orange County, CA",1.6,1.1,.,.,.,.,.,.,.,.,.,.,.,.
2024,06065,"Riverside County, CA",2.8,1,.,.,.,.,.,.,.,.,.,.,.,.
2024,06067,"Sacramento County, CA",0.9,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,06071,"San Bernardino County, CA",1.5,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,06075,"San Francisco County, CA",1.1,0.9,.,.,.,.,.,.,.,.,.,.,.,.
2024,06077,"San Joaquin County, CA",1,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,06081,"San Mateo County, CA",1.9,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,06083,"Santa Barbara County, CA",1.1,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,06085,"Santa Clara County, CA",1.4,1.3,.,.,.,.,.,.,.,.,.,.,.,.
2024,06095,"Solano County, CA",4.9,4.9,.,.,0.07,0.058,.,.,.,.,.,.,.,.
2024,06097,"Sonoma County, CA",1,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,06099,"Stanislaus County, CA",1.1,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,08031,"Denver County, CO",2.3,1.6,.,.,.,.,.,.,.,.,.,.,.,.
2024,08041,"El Paso County, CO",1,0.6,.,.,.,.,.,.,.,.,.,.,.,.
2024,08067,"La Plata County, CO",.,.,.,.,0.08,0.067,.,.,.,.,.,.,.,.
2024,08069,"Larimer County, CO",1.6,1,.,.,.,.,.,.,.,.,.,.,.,.
2024,08123,"Weld County, CO",1.2,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,09003,"Hartford County, CT",1.2,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,09005,"Litchfield County, CT",2.1,0.5,.,.,.,.,.,.,.,.,.,.,.,.
2024,09009,"New Haven County, CT",1.2,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,11001,District of Columbia,1.7,1.3,.,.,.,.,.,.,.,.,.,.,.,.
2024,12011,"Broward County, FL",2,1.3,.,.,.,.,.,.,.,.,.,.,.,.
2024,12031,"Duval County, FL",1.5,1.1,.,.,.,.,.,.,.,.,.,.,.,.
2024,12057,"Hillsborough County, FL",1.9,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,12086,"Miami-Dade County, FL",1.2,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,12095,"Orange County, FL",1.2,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,12103,"Pinellas County, FL",1.2,0.6,.,.,.,.,.,.,.,.,.,.,.,.
2024,13051,"Chatham County, GA",.,.,.,.,0.07,0.058,.,.,.,.,.,.,.,.
2024,13067,"Cobb County, GA",.,.,.,.,.,0.062,.,.,.,.,.,.,.,.
2024,13085,"Dawson County, GA",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2024,13089,"DeKalb County, GA",1.3,1.1,.,.,.,.,.,.,.,.,.,.,.,.
2024,13097,"Douglas County, GA",.,.,.,.,0.09,0.069,.,.,.,.,.,.,.,.
2024,13121,"Fulton County, GA",1.9,1.4,.,.,.,0.072,.,.,.,.,.,.,.,.
2024,13135,"Gwinnett County, GA",.,.,.,.,0.08,0.066,.,.,.,.,.,.,.,.
2024,13215,"Muscogee County, GA",.,.,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2024,13245,"Richmond County, GA",.,.,.,.,0.07,0.058,.,.,.,.,.,.,.,.
2024,13247,"Rockdale County, GA",.,.,.,.,0.08,0.068,.,.,.,.,.,.,.,.
2024,13261,"Sumter County, GA",.,.,.,.,0.07,0.059,.,.,.,.,.,.,.,.
2024,15003,"Honolulu County, HI",0.6,0.4,.,.,.,.,.,.,.,.,.,.,.,.
2024,16001,"Ada County, ID",0.8,0.6,.,.,.,.,.,.,.,.,.,.,.,.
2024,16023,"Butte County, ID",.,.,.,.,0.07,0.065,.,.,.,.,.,.,.,.
2024,17001,"Adams County, IL",.,.,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2024,17019,"Champaign County, IL",0.4,0.3,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2024,17023,"Clark County, IL",.,.,.,.,0.07,0.063,.,.,.,.,.,.,.,.
2024,17031,"Cook County, IL",2.2,1.1,.,16,0.1,0.076,.,.,.,.,.,.,.,.
2024,17043,"DuPage County, IL",.,.,.,.,0.08,0.062,.,.,.,.,.,.,.,.
2024,17049,"Effingham County, IL",.,.,.,.,0.07,0.063,.,.,.,.,.,.,.,.
2024,17065,"Hamilton County, IL",.,.,.,.,0.08,0.061,.,.,.,.,.,.,.,.
2024,17083,"Jersey County, IL",.,.,.,.,0.08,0.068,.,.,.,.,.,.,.,.
2024,17089,"Kane County, IL",.,.,.,.,0.08,0.067,.,.,.,.,.,.,.,.
2024,17097,"Lake County, IL",.,.,.,.,0.09,0.078,.,.,.,.,.,.,.,.
2024,17111,"McHenry County, IL",.,.,.,.,0.08,0.065,.,.,.,.,.,.,.,.
2024,17113,"McLean County, IL",.,.,.,.,0.07,0.064,.,.,.,.,.,.,.,.
2024,17115,"Macon County, IL",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2024,17117,"Macoupin County, IL",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2024,17119,"Madison County, IL",.,.,.,.,0.09,0.069,.,.,.,.,.,.,.,.
2024,17143,"Peoria County, IL",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2024,17157,"Randolph County, IL",.,.,.,.,0.07,0.063,.,.,.,.,.,.,.,.
2024,17161,"Rock Island County, IL",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2024,17163,"Saint Clair County, IL",.,.,.,.,0.08,0.064,.,.,.,.,.,.,.,.
2024,17167,"Sangamon County, IL",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2024,17197,"Will County, IL",.,.,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2024,17201,"Winnebago County, IL",.,.,.,.,0.08,0.067,.,.,.,.,.,.,.,.
2024,18003,"Allen County, IN",.,.,.,.,0.07,0.066,.,.,.,.,.,.,.,.
2024,18005,"Bartholomew County, IN",.,.,.,.,0.08,0.066,.,.,.,.,.,.,.,.
2024,18011,"Boone County, IN",.,.,.,.,0.08,0.065,.,.,.,.,.,.,.,.
2024,18013,"Brown County, IN",.,.,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2024,18015,"Carroll County, IN",.,.,.,.,0.07,0.064,.,.,.,.,.,.,.,.
2024,18019,"Clark County, IN",.,.,.,.,0.09,0.073,.,.,.,.,.,.,.,.
2024,18035,"Delaware County, IN",.,.,.,.,0.07,0.065,.,.,.,.,.,.,.,.
2024,18039,"Elkhart County, IN",.,.,.,.,0.07,0.065,.,.,.,.,.,.,.,.
2024,18043,"Floyd County, IN",.,.,.,.,0.08,0.065,.,.,.,.,.,.,.,.
2024,18055,"Greene County, IN",.,.,.,.,0.07,0.064,.,.,.,.,.,.,.,.
2024,18063,"Hendricks County, IN",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2024,18067,"Howard County, IN",.,.,.,.,0.07,0.066,.,.,.,.,.,.,.,.
2024,18089,"Lake County, IN",.,.,.,.,0.09,0.069,.,.,.,.,.,.,.,.
2024,18091,"LaPorte County, IN",.,.,.,.,0.09,0.069,.,.,.,.,.,.,.,.
2024,18095,"Madison County, IN",.,.,.,.,0.07,0.066,.,.,.,.,.,.,.,.
2024,18097,"Marion County, IN",2,1.1,.,.,0.07,0.064,.,.,.,.,.,.,.,.
2024,18123,"Perry County, IN",.,.,.,.,0.07,0.065,.,.,.,.,.,.,.,.
2024,18127,"Porter County, IN",.,.,.,.,0.09,0.067,.,.,.,.,.,.,.,.
2024,18129,"Posey County, IN",.,.,.,.,0.07,0.063,.,.,.,.,.,.,.,.
2024,18141,"St. Joseph County, IN",.,.,.,.,0.07,0.066,.,.,.,.,.,.,.,.
2024,18145,"Shelby County, IN",.,.,.,.,0.07,0.065,.,.,.,.,.,.,.,.
2024,18163,"Vanderburgh County, IN",1.3,0.9,.,.,0.08,0.066,.,.,.,.,.,.,.,.
2024,18167,"Vigo County, IN",.,.,.,.,0.07,0.064,.,.,.,.,.,.,.,.
2024,18173,"Warrick County, IN",.,.,.,.,0.08,0.067,.,.,.,.,.,.,.,.
2024,19017,"Bremer County, IA",.,.,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2024,19045,"Clinton County, IA",.,.,.,.,0.07,0.063,.,6,.,.,.,.,.,.
2024,19085,"Harrison County, IA",.,.,.,.,0.07,0.064,.,.,.,.,.,.,.,.
2024,19113,"Linn County, IA",.,.,.,.,0.07,0.059,.,.,.,.,.,.,.,.
2024,19137,"Montgomery County, IA",.,.,.,.,0.07,0.059,.,.,.,.,.,.,.,.
2024,19139,"Muscatine County, IA",.,.,.,.,.,.,.,4,.,.,.,.,.,.
2024,19147,"Palo Alto County, IA",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2024,19153,"Polk County, IA",.,.,.,.,0.07,0.059,.,.,.,.,.,.,.,.
2024,19163,"Scott County, IA",0.7,0.5,.,.,0.07,0.062,.,1,.,.,.,.,.,.
2024,19177,"Van Buren County, IA",.,.,.,1,0.07,0.06,.,.,.,.,.,.,.,.
2024,19193,"Woodbury County, IA",.,.,.,.,0.07,0.063,.,.,.,.,.,.,.,.
2024,21111,"Jefferson County, KY",1.3,0.9,.,.,.,.,.,.,.,.,.,.,.,.
2024,22015,"Bossier Parish, LA",.,.,.,.,0.08,0.06,.,.,.,.,.,.,.,.
2024,22017,"Caddo Parish, LA",.,.,.,.,0.08,0.063,.,.,.,.,.,.,.,.
2024,22033,"East Baton Rouge Parish, LA",0.8,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,22071,"Orleans Parish, LA",1.4,1.2,.,.,.,.,.,.,.,.,.,.,.,.
2024,22073,"Ouachita Parish, LA",.,.,.,.,0.08,0.06,.,.,.,.,.,.,.,.
2024,23001,"Androscoggin County, ME",.,.,.,.,0.07,0.053,.,.,.,.,.,.,.,.
2024,23003,"Aroostook County, ME",0.8,0.6,.,.,.,.,.,.,.,.,.,.,.,.
2024,23005,"Cumberland County, ME",.,.,.,6,0.08,0.063,.,.,.,.,.,.,.,.
2024,23009,"Hancock County, ME",0.2,0.3,.,.,0.08,0.069,.,.,.,.,.,.,.,.
2024,23011,"Kennebec County, ME",.,.,.,.,0.06,0.053,.,.,.,.,.,.,.,.
2024,23013,"Knox County, ME",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2024,23017,"Oxford County, ME",.,.,.,.,0.06,0.05,.,.,.,.,.,.,.,.
2024,23019,"Penobscot County, ME",.,.,.,.,0.07,0.055,.,.,.,.,.,.,.,.
2024,23023,"Sagadahoc County, ME",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2024,23029,"Washington County, ME",.,.,.,.,0.06,0.051,.,.,.,.,.,.,.,.
2024,23031,"York County, ME",.,.,.,.,0.08,0.065,.,.,.,.,.,.,.,.
2024,24003,"Anne Arundel County, MD",.,.,.,.,0.08,0.068,.,.,.,.,.,.,.,.
2024,24005,"Baltimore County, MD",1.3,1.1,.,.,0.08,0.071,.,.,.,.,.,.,.,.
2024,24015,"Cecil County, MD",.,.,.,.,0.09,0.07,.,.,.,.,.,.,.,.
2024,24023,"Garrett County, MD",0.3,0.2,.,.,.,.,.,.,.,.,.,.,.,.
2024,24025,"Harford County, MD",.,.,.,.,0.09,0.073,.,.,.,.,.,.,.,.
2024,24027,"Howard County, MD",1.1,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,24033,"Prince George's County, MD",1,0.6,.,.,0.09,0.068,.,.,.,.,.,.,.,.
2024,24043,"Washington County, MD",.,.,.,.,0.08,0.065,.,.,.,.,.,.,.,.
2024,24510,"Baltimore (City), MD",.,.,.,.,0.09,0.071,.,.,.,.,.,.,.,.
2024,25001,"Barnstable County, MA",.,.,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2024,25003,"Berkshire County, MA",.,.,.,.,0.08,0.066,.,.,.,.,.,.,.,.
2024,25005,"Bristol County, MA",.,.,.,.,0.08,0.066,.,.,.,.,.,.,.,.
2024,25007,"Dukes County, MA",.,.,.,.,0.08,0.061,.,.,.,.,.,.,.,.
2024,25009,"Essex County, MA",.,.,.,.,0.07,0.064,.,.,.,.,.,.,.,.
2024,25011,"Franklin County, MA",.,.,.,.,0.08,0.061,.,.,.,.,.,.,.,.
2024,25013,"Hampden County, MA",.,.,.,.,0.09,0.068,.,.,.,.,.,.,.,.
2024,25015,"Hampshire County, MA",.,.,.,.,0.09,0.063,.,.,.,.,.,.,.,.
2024,25017,"Middlesex County, MA",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2024,25021,"Norfolk County, MA",.,.,.,.,0.08,0.065,.,.,.,.,.,.,.,.
2024,25023,"Plymouth County, MA",.,.,.,.,0.07,0.064,.,.,.,.,.,.,.,.
2024,25025,"Suffolk County, MA",1.2,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,25027,"Worcester County, MA",1.2,0.9,.,.,0.07,0.063,.,.,.,.,.,.,.,.
2024,26081,"Kent County, MI",2.1,1.5,.,.,.,.,.,.,.,.,.,.,.,.
2024,26163,"Wayne County, MI",1.8,1.4,.,.,.,.,.,.,.,.,.,.,.,.
2024,27003,"Anoka County, MN",0.8,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,27037,"Dakota County, MN",0.8,0.6,.,.,.,.,.,.,.,.,.,.,.,.
2024,27053,"Hennepin County, MN",2.4,1.5,.,.,.,.,.,.,.,.,.,.,.,.
2024,27137,"Saint Louis County, MN",.,.,.,.,0.06,0.052,.,.,.,.,.,.,.,.
2024,28011,"Bolivar County, MS",.,.,.,.,0.07,0.057,.,.,.,.,.,.,.,.
2024,28033,"DeSoto County, MS",.,.,.,.,0.08,0.069,.,.,.,.,.,.,.,.
2024,28045,"Hancock County, MS",.,.,.,.,0.07,0.063,.,.,.,.,.,.,.,.
2024,28047,"Harrison County, MS",.,.,.,.,0.08,0.068,.,.,.,.,.,.,.,.
2024,28049,"Hinds County, MS",1,0.9,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2024,28059,"Jackson County, MS",.,.,.,.,0.08,0.067,.,.,.,.,.,.,.,.
2024,28075,"Lauderdale County, MS",.,.,.,.,0.06,0.053,.,.,.,.,.,.,.,.
2024,28081,"Lee County, MS",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2024,29510,"St. Louis City, MO",1.2,0.9,.,.,.,.,.,.,.,.,.,.,.,.
2024,30029,"Flathead County, MT",.,.,.,.,0.07,0.056,.,.,.,.,.,.,.,.
2024,30031,"Gallatin County, MT",0.6,0.5,.,.,.,.,.,.,.,.,.,.,.,.
2024,30049,"Lewis and Clark County, MT",0.3,0.2,.,.,.,.,.,.,.,.,.,.,.,.
2024,31055,"Douglas County, NE",4.4,2.5,.,.,0.06,0.055,.,.,.,.,.,.,.,.
2024,32003,"Clark County, NV",2.3,1.9,.,.,0.08,0.075,.,.,.,.,.,.,.,.
2024,32031,"Washoe County, NV",1.3,1,.,.,.,.,.,.,.,.,.,.,.,.
